Ref,Val,Package,PosX,PosY,Rot,Side
"R51","348k","R_0805_2012Metric",257.937000,-33.274000,180.000000,top
"R52","1k","R_0805_2012Metric",263.652000,-64.643000,-90.000000,top
"R53","180k","R_0805_2012Metric",257.429000,-44.704000,180.000000,top
"R54","348k","R_0805_2012Metric",257.429000,-46.736000,0.000000,top
"R55","1k","R_0805_2012Metric",232.904000,-98.500000,180.000000,top
"R56","1k","R_0805_2012Metric",232.904000,-100.500000,180.000000,top
"R57","1k","R_0805_2012Metric",210.566000,-77.724000,0.000000,top
"R58","1k","R_0805_2012Metric",196.342000,-80.518000,-90.000000,top
"R59","100k","R_0805_2012Metric",232.904000,-96.500000,180.000000,top
"R60","100k","R_0805_2012Metric",232.904000,-105.918000,0.000000,top
"R61","100k","R_0805_2012Metric",204.216000,-77.216000,90.000000,top
"R62","100k","R_0805_2012Metric",194.056000,-80.518000,90.000000,top
"R63","1k","R_0805_2012Metric",183.692800,-75.844400,-90.000000,top
"R64","10k","R_0805_2012Metric",181.610000,-75.844400,-90.000000,top
"R65","1k","R_0805_2012Metric",232.904000,-90.500000,180.000000,top
"R66","1k","R_0805_2012Metric",232.904000,-92.500000,180.000000,top
"R67","1k","R_0805_2012Metric",232.904000,-109.919000,180.000000,top
"R68","1k","R_0805_2012Metric",232.904000,-111.919000,180.000000,top
"R69","100k","R_0805_2012Metric",232.904000,-88.500000,0.000000,top
"R70","100k","R_0805_2012Metric",232.904000,-94.500000,0.000000,top
"R71","100k","R_0805_2012Metric",232.904000,-107.919000,180.000000,top
"R72","100k","R_0805_2012Metric",232.904000,-113.919000,0.000000,top
"R73","1k","R_0805_2012Metric",251.714000,-107.442000,0.000000,top
"R74","2.49k","R_0805_2012Metric",264.363200,-69.088000,180.000000,top
"R75","1k","R_0805_2012Metric",264.363200,-73.406000,0.000000,top
"R76","1k","R_0805_2012Metric",264.363200,-71.170800,0.000000,top
"SW1","SW_DPDT_x2","AYZ0202AGRLC",197.000000,-44.000000,0.000000,top
"SW2","SW_DPDT_x2","AYZ0202AGRLC",207.000000,-44.000000,0.000000,top
"SW3","SW_DIP_x02","SW_DIP_SPSTx02_Slide_9.78x7.26mm_W8.61mm_P2.54mm",219.456000,-52.705000,180.000000,top
"SW4","SW_DPDT_x2","AYZ0202AGRLC",219.500000,-97.206000,90.000000,top
"SW5","SW_DPDT_x2","AYZ0202AGRLC",217.000000,-44.000000,0.000000,top
"U1","Teensy4.1","Teensy41",228.346000,-73.000000,0.000000,top
"U2","MCP2562-E-SN","SOIC-8_3.9x4.9mm_P1.27mm",188.533000,-42.545000,0.000000,top
"U3","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",227.330000,-72.517000,0.000000,top
"U4","~","ESP32-C3 SUPERMINI",240.233200,-102.362000,-90.000000,top
"U5","TC4424A","SOIC-8_3.9x4.9mm_P1.27mm",197.000000,-108.500000,-90.000000,top
"U6","TC4424A","SOIC-8_3.9x4.9mm_P1.27mm",197.000000,-91.500000,-90.000000,top
"U7","MC33810","SOIC32-P0.65-33N",208.000000,-108.500000,0.000000,top
"U8","MC33810","SOIC32-P0.65-33N",208.000000,-91.500000,0.000000,top
"U9","TC4424A","SOIC-8_3.9x4.9mm_P1.27mm",218.500000,-108.500000,0.000000,top
"U10","TC4424A","SOIC-8_3.9x4.9mm_P1.27mm",218.632000,-89.535000,0.000000,top
"U11","KP234","KP234",243.988000,-31.623000,180.000000,top
"U12","LMV324LIDT","SOIC-14_3.9x8.7mm_P1.27mm",246.229994,-42.500000,0.000000,top
"U13","SP720","SOIC-16_3.9x9.9mm_P1.27mm",234.823000,-59.625000,90.000000,top
"U14","LMV324LIDT","SOIC-14_3.9x8.7mm_P1.27mm",260.477000,-38.989000,0.000000,top
"U15","MC78M05_TO252","TO-252-2",180.219000,-68.072000,-90.000000,top
