Reference, Quantity, Value, Footprint, Datasheet, Manufacturer_Name, Manufacturer_Part_Number, URL, Digikey Part Number, Part #, Tolerance, Voltage, Allied_Number, Description, RS Part Number, RS Price/Stock, Height
D4 D3 D8 D7 D1 D2 D11 D19 D18 ,9,"LED","LED_SMD:LED_0805_2012Metric","~","Osram","LH R974-LP-1","https://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LH-R974-LP-1/475-1415-1-ND/1802604","475-1415-1-ND","","","","","","","",""
F1 ,1,"Polyfuse","Fuse:Fuse_0603_1608Metric","~","Bel Fuse","0ZCM0008FF2G","https://www.digikey.com.au/product-detail/en/bel-fuse-inc/0ZCM0008FF2G/507-1817-1-ND/4156262","507-1817-1-ND","","","","","","","",""
J1 ,1,"174917-1","Connector_Automotive:1749171","","TE Connectivity","174917-1","","","","","","70284153","0.40/0.70 Hybrid Housing,cap,r/a,DR,48w","7201001P","http://uk.rs-online.com/web/p/products/7201001P","22.2"
J2 J3 J4 J5 ,4,"Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
J6 ,1,"Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
JP1 ,1,"Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
JP2 ,1,"Jumper","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
JP3 ,1,"Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
Q1 ,1,"Q_PNP_BEC","Package_TO_SOT_SMD:SOT-23_Handsoldering","~","Diodes Inc","ZXTP07040DFF","https://www.digikey.com/product-detail/en/diodes-incorporated/ZXTP07040DFFTA/ZXTP07040DFFCT-ND/1557782","ZXTP07040DFFCT-ND","ZXTP07040DFF","","","","","","",""
R1 R2 R15 R16 R3 R4 R56 R57 R42 R41 R51 R50 R47 ,13,"100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","Yageo","RC0805FR-07100KL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-07100KL/311-100KCRCT-ND/730491","311-100KCRCT-ND","","","","","","","",""
R10 R9 R20 R19 R11 R12 R60 R61 R25 ,9,"2.4k","Resistor_SMD:R_0805_2012Metric","~","Yageo","RC0805FR-072K4L","https://www.digikey.com/product-detail/en/yageo/RC0805FR-072K4L/311-2.40KCRCT-ND/730637","311-2.40KCRCT-ND","","","","","","","",""
R13 R14 R62 R63 ,4,"10R","Resistor_SMD:R_0805_2012Metric","~","Yageo","RC0805FR-0710RL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-0710RL/311-10.0CRCT-ND/730481","311-10.0CRCT-ND","","","","","","","",""
